step,mloss,gloss,loss
17400,0.2989,0.8299,1.1288
17500,0.2989,0.8318,1.1307
17600,0.3006,0.8303,1.1309
17700,0.2993,0.8304,1.1297000000000001
17800,0.2978,0.8312,1.129
17900,0.2955,0.8312,1.1267
18000,0.2975,0.8299,1.1274
18100,0.2985,0.836,1.1345
18200,0.2979,0.8291,1.127
18300,0.2957,0.8649,1.1606
18400,0.298,0.8367,1.1347
18500,0.2981,0.8341,1.1321999999999999
18600,0.298,0.8305,1.1285
18700,0.2978,0.8316,1.1294
18800,0.2973,0.8311,1.1284
18900,0.2986,0.8311,1.1297
19000,0.2984,0.8308,1.1292
19100,0.2996,0.8307,1.1303
19200,0.2992,0.83,1.1292
19300,0.2986,0.8324,1.131
19400,0.2999,0.8316,1.1315
19500,0.2987,0.8316,1.1303
19600,0.2993,0.8335,1.1328
19700,0.2995,0.8303,1.1298
19800,0.2981,0.8312,1.1293
19900,0.2984,0.8311,1.1295
20000,0.297,0.8304,1.1274
20100,0.2995,0.8311,1.1305999999999998
20200,0.2964,0.8308,1.1272
20300,0.2986,0.83,1.1286
20400,0.2981,0.8307,1.1288
20500,0.2998,0.8307,1.1305
20600,0.2984,0.829,1.1274
20700,0.3001,0.8315,1.1316
20800,0.2975,0.8306,1.1280999999999999
20900,0.2959,0.8299,1.1258
21000,0.2971,0.8291,1.1261999999999999
21100,0.2987,0.8303,1.129
21200,0.2982,0.8311,1.1293
21300,0.2983,0.8321,1.1303999999999998
21400,0.2993,0.8296,1.1289
21500,0.2995,0.8308,1.1303
21600,0.2982,0.8326,1.1308
21700,0.2989,0.8287,1.1276
21800,0.2986,0.8287,1.1273
21900,0.3,0.829,1.129
22000,0.2986,0.8287,1.1273
22100,0.2982,0.8306,1.1288
22200,0.298,0.8317,1.1297
22300,0.2975,0.8286,1.1261
22400,0.2991,0.832,1.1311
22500,0.2986,0.8305,1.1291
22600,0.2984,0.8286,1.127
22700,0.2977,0.8286,1.1263
22800,0.2979,0.8297,1.1276
22900,0.2992,0.8276,1.1268
23000,0.2976,0.8308,1.1284
23100,0.2977,0.8294,1.1271
23200,0.2989,0.83,1.1289
23300,0.2979,0.8294,1.1273
23400,0.2979,0.8307,1.1286
23500,0.2978,0.8299,1.1277
23600,0.2984,0.8306,1.129
23700,0.2982,0.8308,1.129
23800,0.2985,0.83,1.1284999999999998
23900,0.2993,0.831,1.1303
24000,0.2977,0.8304,1.1281
24100,0.2987,0.8307,1.1294
24200,0.2985,0.8321,1.1305999999999998
24300,0.2976,0.8306,1.1282
24400,0.3001,0.8338,1.1339
24500,0.2985,0.8319,1.1303999999999998
24600,0.3009,0.8302,1.1311
24700,0.2974,0.8311,1.1284999999999998
24800,0.2988,0.8303,1.1291
24900,0.2976,0.8297,1.1273
25000,0.298,0.8288,1.1268
25100,0.2986,0.8288,1.1274
25200,0.2996,0.8296,1.1292
25300,0.2981,0.8314,1.1295
25400,0.2968,0.8306,1.1274
25500,0.2985,0.8299,1.1284
25600,0.2976,0.8284,1.126
25700,0.2987,0.8307,1.1294
25800,0.2977,0.8279,1.1256
25900,0.2983,0.8299,1.1282
26000,0.299,0.8286,1.1276
26100,0.2976,0.828,1.1256
26200,0.298,0.8292,1.1272
26300,0.2985,0.8301,1.1286
26400,0.2981,0.8285,1.1266
26500,0.2996,0.8288,1.1284
26600,0.2975,0.8274,1.1249
26700,0.2978,0.8301,1.1279
26800,0.297,0.8301,1.1271
26900,0.298,0.8271,1.1251
27000,0.2978,0.829,1.1268
27100,0.2953,0.8299,1.1252
27200,0.298,0.8308,1.1288
27300,0.2971,0.8305,1.1276
27400,0.2967,0.8287,1.1254
27500,0.2984,0.83,1.1284
27600,0.299,0.8308,1.1298
27700,0.2979,0.8307,1.1286
27800,0.2972,0.8306,1.1278000000000001
27900,0.299,0.8286,1.1276
28000,0.297,0.83,1.127
28100,0.2988,0.83,1.1288
28200,0.2988,0.8294,1.1282
28300,0.2987,0.8324,1.1311
28400,0.2975,0.8306,1.1280999999999999
28500,0.2974,0.8296,1.127
28600,0.2993,0.8289,1.1282
28700,0.298,0.8303,1.1283
28800,0.2983,0.8299,1.1282
28900,0.2971,0.8297,1.1268
29000,0.2973,0.826,1.1233
29100,0.2983,0.8295,1.1278000000000001
29200,0.2982,0.8295,1.1277
29300,0.2978,0.831,1.1288
29400,0.296,0.8296,1.1256
29500,0.3017,0.8304,1.1321
29600,0.2968,0.8295,1.1263
29700,0.2976,0.8303,1.1279
29800,0.2979,0.8302,1.1281
29900,0.2982,0.8294,1.1276000000000002
30000,0.2977,0.8308,1.1285
30100,0.2929,0.8293,1.1222
30200,0.298,0.8298,1.1278
30300,0.2971,0.8281,1.1252
30400,0.2978,0.8284,1.1262
30500,0.2971,0.8287,1.1258
30600,0.2975,0.83,1.1275
30700,0.2983,0.8298,1.1280999999999999
30800,0.2949,0.8461,1.141
30900,0.298,0.8315,1.1295
31000,0.2981,0.8327,1.1308
31100,0.2987,0.8303,1.129
31200,0.2985,0.8303,1.1288
31300,0.2967,0.8287,1.1254
31400,0.2963,0.829,1.1253
31500,0.297,0.8292,1.1262
31600,0.2976,0.8282,1.1258
31700,0.298,0.8288,1.1268
31800,0.2984,0.83,1.1284
31900,0.2974,0.8289,1.1263
32000,0.2986,0.8296,1.1282
32100,0.299,0.8294,1.1284
32200,0.298,0.829,1.127
32300,0.2976,0.8286,1.1261999999999999
32400,0.2986,0.8303,1.1289
32500,0.2979,0.8295,1.1274
32600,0.2975,0.8288,1.1263
32700,0.2966,0.8291,1.1257
32800,0.2976,0.8292,1.1268
32900,0.2966,0.8279,1.1244999999999998
33000,0.297,0.8303,1.1273
33100,0.2981,0.8286,1.1267
33200,0.2983,0.829,1.1273
33300,0.2984,0.8289,1.1273
33400,0.2982,0.8287,1.1269
33500,0.2973,0.8295,1.1268
33600,0.2981,0.8286,1.1267
33700,0.2978,0.8287,1.1265
33800,0.2978,0.8298,1.1276
33900,0.298,0.8287,1.1267
34000,0.2979,0.8275,1.1254
34100,0.2968,0.8286,1.1254
34200,0.2983,0.8294,1.1277
34300,0.2976,0.8321,1.1297
34400,0.2978,0.8303,1.1281
34500,0.2983,0.8291,1.1274
34600,0.2974,0.8284,1.1258
34700,0.2972,0.8288,1.126
34800,0.2989,0.8293,1.1282
34900,0.2975,0.8295,1.127
35000,0.2977,0.8298,1.1275
35100,0.2982,0.8301,1.1282999999999999
35200,0.2963,0.8298,1.1261
35300,0.2981,0.8285,1.1266
35400,0.2974,0.8289,1.1263
35500,0.297,0.8277,1.1247
35600,0.2977,0.8273,1.125
35700,0.2977,0.8282,1.1259000000000001
35800,0.2976,0.8292,1.1268
35900,0.2979,0.8296,1.1275
36000,0.2967,0.8278,1.1245
36100,0.2984,0.8275,1.1259000000000001
36200,0.2982,0.8286,1.1268
36300,0.2979,0.8303,1.1282
36400,0.2994,0.8287,1.1280999999999999
36500,0.2975,0.8309,1.1284
36600,0.2982,0.8276,1.1258
36700,0.298,0.8298,1.1278
36800,0.2982,0.8287,1.1269
36900,0.2985,0.8279,1.1263999999999998
37000,0.298,0.8291,1.1271
37100,0.298,0.8304,1.1284
37200,0.2979,0.8297,1.1276
37300,0.2983,0.8306,1.1289
