method,roc_auc,ci_lower,ci_upper,ci_width
Real data (baseline),0.6153943235937614,0.6115770727528987,0.6193175851067656,0.007740512353866857
CTGAN (tuned),0.6030741996963065,0.5993494282848824,0.6067221014035277,0.007372673118645312
TabDDPM (tuned),0.5995873503966465,0.5955905036344831,0.6034067602796808,0.007816256645197694
TVAE (default),0.5850720547359951,0.581103225296831,0.5888611176949925,0.007757892398161492
TVAE (tuned),0.5788011560077495,0.5750188275991404,0.582487267079571,0.007468439480430633
Gaussian Copula (tuned),0.5691292730097576,0.5646614925709982,0.573055779610996,0.008394287039997783
CTGAN (default),0.5649478302835984,0.5612113698560174,0.5689315015155259,0.007720131659508467
Gaussian Copula (default),0.5626464328021307,0.5588530386964727,0.5668680344863596,0.008014995789886847
TabDDPM (default),0.5422693267892679,0.5381507629179528,0.5463497847634156,0.008199021845462728
