config_label,config,mean_roc_auc,sd_roc_auc,mean_ks,mean_tvd,runs
batch_size=1000,"{""batch_size"": 1000}",0.5872168181385344,0.006085932052940932,0.07700166666666665,0.04639708333333333,3
wide 256,"{""compress_dims"": [256, 256], ""decompress_dims"": [256, 256]}",0.5839318401800476,0.001757382878023275,0.031951666666666684,0.03378375,3
loss_factor=5 + wide 256,"{""loss_factor"": 5, ""compress_dims"": [256, 256], ""decompress_dims"": [256, 256]}",0.5800194955342164,0.008057775897818482,0.050893333333333346,0.036260833333333325,3
