comparison,mean_difference,ci_lower,ci_upper,distinguishable
CTGAN (tuned) minus Gaussian Copula (default),0.04044437495573905,0.036085649311098936,0.04495788842591638,True
CTGAN (tuned) minus Gaussian Copula (tuned),0.0339468201934732,0.02943634300333818,0.03826817943848254,True
CTGAN (tuned) minus CTGAN (default),0.03815005207439145,0.03449332570783591,0.04193945991390961,True
CTGAN (tuned) minus TVAE (default),0.017971085061885477,0.01467786166453135,0.021456104942086954,True
CTGAN (tuned) minus TVAE (tuned),0.024189146444454718,0.020831316211748246,0.02741235684404731,True
CTGAN (tuned) minus TabDDPM (default),0.06094403620923329,0.05577730657452384,0.06611447229475463,True
CTGAN (tuned) minus TabDDPM (tuned),0.003559346857839525,-2.501489510000894e-05,0.007315355430923518,False
