config_label,config,round,val_roc_auc,mean_ks,mean_tvd,loss_improvement_pct,converged,seconds
library defaults,{},screen,0.5699690564793459,0.17364000000000002,0.05156,3.5602926931787025,False,100.33725118637085
loss_factor=5,"{""loss_factor"": 5}",screen,0.5671915547416208,0.18788,0.05930500000000001,100.99091077866578,False,86.41513156890869
loss_factor=10,"{""loss_factor"": 10}",screen,0.551597474831565,0.16872,0.07351999999999999,3.583485606501481,False,86.0431911945343
embedding_dim=256,"{""embedding_dim"": 256}",screen,0.5791362380181219,0.17442000000000002,0.042020000000000016,7.657240790661987,False,86.23695731163025
embedding_dim=64,"{""embedding_dim"": 64}",screen,0.575942977555385,0.16849999999999998,0.04723000000000001,3.045617003096319,False,85.83994555473328
wide 256,"{""compress_dims"": [256, 256], ""decompress_dims"": [256, 256]}",screen,0.5826148701567837,0.16866000000000003,0.04020500000000002,9.514681679385193,False,87.8572940826416
narrow 64,"{""compress_dims"": [64, 64], ""decompress_dims"": [64, 64]}",screen,0.5388090943821315,0.17324,0.05699,2.742291023919229,False,87.97199392318726
l2scale=1e-4,"{""l2scale"": 0.0001}",screen,0.573325219669091,0.16766000000000003,0.05208,2.900474800235987,False,88.56287741661072
l2scale=1e-6,"{""l2scale"": 1e-06}",screen,0.575163581125625,0.16743999999999998,0.051710000000000006,4.4096372403652495,False,89.327321767807
batch_size=1000,"{""batch_size"": 1000}",screen,0.5794557180393087,0.16692,0.053489999999999996,4.169666033015864,False,59.23517322540283
loss_factor=5 + wide 256,"{""loss_factor"": 5, ""compress_dims"": [256, 256], ""decompress_dims"": [256, 256]}",screen,0.5863982394747399,0.07776,0.051809999999999995,31.348684841442775,False,87.72246527671814
